dispatch_neighborhood,evaluated_events,correctly_labeled,events_with_any_boundary,incorrect_or_outside,pct_correctly_labeled
columbia city,1310,0,1310,1310,0.0
commercial duwamish,447,0,447,447,0.0
eastlake - east,404,0,404,404,0.0
genesee,1032,0,1032,1032,0.0
hillman city,881,0,881,881,0.0
pigeon point,296,0,296,296,0.0
south delridge,686,0,659,686,0.0
morgan,1423,606,1423,817,42.58608573436402
mount baker,5269,2613,5269,2656,49.591952932245206
madrona/leschi,2797,1613,2797,1184,57.66893099749731
highland park,2691,1739,2652,952,64.62281679672984
central area/squire park,6547,4379,6547,2168,66.88559645639224
brighton/dunlap,3207,2169,3207,1038,67.63330215154349
chinatown/international district,11462,8276,11462,3186,72.20380387366951
slu/cascade,13171,9723,13171,3448,73.82127401108495
bitterlake,5772,4403,5759,1369,76.28205128205127
montlake/portage bay,1279,996,1276,283,77.87333854573886
downtown commercial,15726,12324,15726,3402,78.36703548264022
belltown,6593,5176,6593,1417,78.50750796299106
first hill,10281,8150,10281,2131,79.27244431475538
alki,2128,1692,2128,436,79.51127819548873
judkins park/north beacon hill,4240,3473,4240,767,81.91037735849058
miller park,1715,1406,1715,309,81.98250728862973
south park,1566,1286,1563,280,82.12005108556832
north delridge,1995,1642,1995,353,82.30576441102757
fauntleroy sw,641,531,641,110,82.8393135725429
madison park,628,525,628,103,83.59872611464968
high point,2750,2313,2750,437,84.10909090909091
capitol hill,20902,17623,20902,3279,84.31250598028896
sodo,5821,4937,5821,884,84.81360590963753
new holly,1407,1209,1407,198,85.9275053304904
northgate,14256,12370,14225,1886,86.77048260381594
mid beacon hill,2088,1817,2088,271,87.02107279693486
north admiral,2218,1953,2218,265,88.05229936880072
eastlake - west,1297,1149,1297,148,88.58905165767155
roosevelt/ravenna,7439,6611,7439,828,88.86947170318591
rainier beach,3237,2906,3237,331,89.77448254556688
alaska junction,4415,3976,4415,439,90.05662514156285
phinney ridge,1584,1452,1584,132,91.66666666666666
queen anne,11299,10417,11297,882,92.19399946897956
greenwood,4711,4348,4711,363,92.29462959032053
wallingford,3731,3470,3731,261,93.00455641919056
pioneer square,6081,5662,6081,419,93.1096859069232
lakecity,6478,6041,6376,437,93.25409076875579
claremont/rainier vista,1791,1691,1791,100,94.41652707984366
magnolia,2944,2810,2944,134,95.44836956521739
georgetown,3869,3698,3869,171,95.58025329542518
rainier view,1956,1872,1893,84,95.70552147239265
fremont,4197,4018,4196,179,95.73504884441267
lakewood/seward park,1050,1007,1050,43,95.9047619047619
south beacon hill,1709,1643,1701,66,96.13809245172615
sandpoint,4482,4321,4482,161,96.4078536367693
north beacon hill,6176,5987,6176,189,96.93976683937824
roxhill/westwood/arbor heights,3559,3451,3544,108,96.96543973026131
ballard south,8773,8525,8770,248,97.1731448763251
ballard north,4005,3919,4005,86,97.85268414481898
commercial harbor island,96,94,94,2,97.91666666666666
university,9940,9834,9939,106,98.93360160965796
